app,duration_in_minutes,joules
Meet,3.0,930.8948399999999
Meet,3.0,945.6944399999999
Meet,3.0,939.7746000000001
Meet,3.0,948.65436
Meet,3.0,948.65436
Meet,5.0,1623.3984
Meet,5.0,1639.008
Meet,5.0,1639.008
Meet,5.0,1654.6176
Meet,5.0,1639.008
Meet,7.0,2249.82
Meet,7.0,2280.852
Meet,7.0,2249.82
Meet,7.0,2265.3360000000002
Meet,7.0,2265.3360000000002
Meet,9.0,2874.5928000000004
Meet,9.0,2905.5024000000003
Meet,9.0,2905.5024000000003
Meet,9.0,2905.5024000000003
Meet,9.0,2905.5024000000003
Meet,10.0,3181.1472
Meet,10.0,3165.9264
Meet,10.0,3165.9264
Meet,10.0,3135.4847999999997
Meet,10.0,3181.1472
Zoom,3.0,1004.7744
Zoom,3.0,1047.1633199999999
Zoom,3.0,1044.0234
Zoom,3.0,1025.18388
Zoom,3.0,1044.0234
Zoom,5.0,1686.2256
Zoom,5.0,1717.452
Zoom,5.0,1701.8388
Zoom,5.0,1686.2256
Zoom,5.0,1686.2256
Zoom,7.0,2320.3799999999997
Zoom,7.0,2335.8491999999997
Zoom,7.0,2335.8491999999997
Zoom,7.0,2320.3799999999997
Zoom,7.0,2320.3799999999997
Zoom,9.0,2933.4528
Zoom,9.0,2979.288
Zoom,9.0,2948.7312
Zoom,9.0,2948.7312
Zoom,9.0,2994.5664
Zoom,10.0,3231.45
Zoom,10.0,3261.5099999999998
Zoom,10.0,3261.5099999999998
Zoom,10.0,3261.5099999999998
Zoom,10.0,3261.5099999999998
